word,count,freq
to,1,4533
the,2,4533
of,3,3698
and,4,3556
a,5,2764
i,6,2267
was,7,2118
her,8,2037
not,9,1871
it,10,1864
in,11,1849
she,12,1769
be,13,1762
you,14,1520
that,15,1487
had,16,1436
he,17,1390
as,18,1246
have,19,1175
is,20,1099
for,21,1090
very,22,1035
with,23,1008
his,24,1001
mr,25,942
at,26,897
but,27,889
so,28,790
could,29,708
would,30,694
all,31,690
been,32,632
my,33,595
any,34,586
mrs,35,577
on,36,572
him,37,571
no,38,565
do,39,525
miss,40,506
were,41,502
emma,42,498
must,43,494
will,44,491
by,45,479
from,46,447
me,47,427
an,48,421
what,49,417
which,50,417
this,51,414
they,52,407
much,53,406
such,54,396
said,55,395
are,56,394
or,57,388
there,58,382
am,59,381
more,60,373
one,61,364
every,62,364
if,63,361
than,64,346
think,65,335
them,66,334
should,67,319
your,68,315
weston,69,315
little,70,314
being,71,302
never,72,299
thing,73,299
did,74,287
when,75,284
only,76,280
might,77,277
know,78,273
harriet,79,269
well,80,266
we,81,266
how,82,262
knightley,83,260
their,84,258
good,85,256
elton,86,255
say,87,253
own,88,252
who,89,244
quite,90,238
now,91,238
great,92,237
can,93,234
some,94,232
has,95,226
time,96,220
too,97,219
most,98,215
jane,99,211
may,100,202
woodhouse,101,202
dear,102,202
about,103,201
always,104,201
see,105,193
shall,106,192
nothing,107,190
soon,108,190
thought,109,185
herself,110,184
other,111,179
sure,112,177
first,113,176
without,114,175
man,115,168
made,116,165
like,117,165
out,118,164
young,119,162
frank,120,161
before,121,159
ever,122,154
fairfax,123,151
two,124,149
again,125,148
up,126,142
give,127,140
really,128,140
body,129,139
churchill,130,139
into,131,138
just,132,137
though,133,136
better,134,136
then,135,136
come,136,131
after,137,130
make,138,129
hope,139,129
long,140,125
upon,141,123
indeed,142,119
friend,143,119
day,144,118
cannot,145,118
father,146,118
having,147,117
wish,148,117
way,149,116
hartfield,150,116
go,151,116
rather,152,115
us,153,115
many,154,115
even,155,111
seemed,156,111
its,157,110
done,158,109
does,159,107
take,160,104
last,161,101
however,162,101
poor,163,100
here,164,100
going,165,100
himself,166,99
bates,167,99
over,168,99
felt,169,99
happy,170,99
still,171,98
heard,172,98
came,173,97
mind,174,97
enough,175,97
away,176,96
few,177,95
while,178,95
highbury,179,93
woman,180,92
saw,181,92
look,182,92
home,183,91
hear,184,90
same,185,90
love,186,89
yet,187,89
doubt,188,86
our,189,86
sort,190,86
letter,191,86
believe,192,85
moment,193,84
half,194,84
another,195,83
something,196,83
speak,197,80
feel,198,80
till,199,80
idea,200,80
often,201,79
found,202,79
pleasure,203,78
looked,204,78
knew,205,78
those,206,77
eltons,207,77
want,208,76
cried,209,73
certainly,210,73
john,211,72
ought,212,72
almost,213,72
right,214,72
old,215,71
harriets,216,71
evening,217,71
off,218,71
friends,219,71
word,220,69
deal,221,69
present,222,69
party,223,68
coming,224,68
tell,225,68
morning,226,68
subject,227,67
told,228,67
people,229,67
find,230,67
best,231,67
myself,232,67
suppose,233,67
feelings,234,66
place,235,66
visit,236,65
randalls,237,64
whole,238,64
where,239,63
given,240,63
perhaps,241,63
gone,242,63
wanted,243,63
obliged,244,63
hardly,245,63
least,246,63
house,247,62
kind,248,62
let,249,62
once,250,61
together,251,61
hour,252,61
both,253,61
far,254,61
whom,255,61
replied,256,60
seen,257,60
left,258,60
room,259,59
family,260,59
understand,261,59
part,262,59
set,263,59
between,264,59
less,265,58
assure,266,58
three,267,58
began,268,58
get,269,58
next,270,58
able,271,57
emmas,272,57
world,273,57
towards,274,56
perfectly,275,56
put,276,56
TRUE,277,55
talked,278,55
dare,279,55
talk,280,54
pretty,281,54
opinion,282,54
down,283,53
these,284,53
martin,285,53
extremely,286,53
possible,287,53
either,288,52
since,289,52
perry,290,52
immediately,291,52
lady,292,52
looking,293,52
else,294,52
ready,295,51
nobody,296,51
therefore,297,51
manner,298,51
westons,299,51
general,300,50
happiness,301,50
back,302,50
person,303,50
equal,304,49
afraid,305,49
life,306,49
nor,307,49
situation,308,49
short,309,49
thinking,310,48
sir,311,48
course,312,48
under,313,48
smith,314,48
change,315,48
marry,316,47
feeling,317,46
things,318,46
brought,319,46
whether,320,46
oh,321,46
through,322,46
heart,323,46
longer,324,45
others,325,45
rest,326,45
carriage,327,45
bear,328,45
days,329,45
imagine,330,45
sorry,331,45
comfort,332,45
return,333,45
acquaintance,334,44
wife,335,44
talking,336,44
taken,337,44
aunt,338,44
seeing,339,44
exactly,340,44
mean,341,44
care,342,44
leave,343,44
because,344,43
attention,345,43
bad,346,43
superior,347,43
end,348,43
state,349,43
walked,350,43
walk,351,43
side,352,43
point,353,43
spirits,354,43
among,355,42
sense,356,42
gave,357,42
known,358,42
natural,359,42
allow,360,42
years,361,42
went,362,42
walking,363,42
beyond,364,41
likely,365,41
read,366,41
eyes,367,41
wonder,368,41
appeared,369,41
glad,370,41
passed,371,41
business,372,41
answer,373,40
mother,374,40
degree,375,40
isabella,376,39
used,377,39
means,378,39
against,379,39
minutes,380,39
full,381,39
took,382,39
remember,383,39
making,384,38
usual,385,38
ask,386,38
cole,387,38
each,388,38
name,389,38
called,390,38
manners,391,38
wished,392,38
believed,393,37
saying,394,37
proper,395,37
children,396,37
cold,397,37
call,398,37
speaking,399,37
real,400,37
meant,401,37
doing,402,37
hand,403,37
reason,404,37
woodhouses,405,37
society,406,37
power,407,36
smile,408,36
account,409,36
sit,410,36
fine,411,36
satisfied,412,36
hoped,413,36
interest,414,36
spoke,415,36
asked,416,36
need,417,35
yes,418,35
met,419,35
strong,420,35
near,421,35
particularly,422,35
donwell,423,35
words,424,34
stay,425,34
beginning,426,34
affection,427,34
agreeable,428,34
voice,429,34
already,430,34
air,431,34
brother,432,34
allowed,433,34
early,434,33
got,435,33
ill,436,33
why,437,33
son,438,33
attachment,439,33
use,440,33
ladies,441,33
conversation,442,33
bring,443,33
respect,444,33
fond,445,33
london,446,32
fathers,447,32
particular,448,32
pleased,449,32
farther,450,32
door,451,32
news,452,32
regard,453,32
sitting,454,32
child,455,32
five,456,32
help,457,32
colonel,458,32
giving,459,32
round,460,32
delightful,461,32
keep,462,31
different,463,31
married,464,31
open,465,31
sent,466,31
large,467,31
settled,468,31
churchills,469,31
consider,470,31
dinner,471,31
question,472,31
weather,473,31
sat,474,31
knightleys,475,30
truth,476,30
new,477,30
appear,478,30
daughter,479,30
entirely,480,30
meeting,481,30
added,482,30
directly,483,30
character,484,29
thoughts,485,29
dixon,486,29
danger,487,29
necessary,488,29
wrong,489,29
yourself,490,29
taylor,491,28
pleasant,492,28
amiable,493,28
object,494,28
creature,495,28
anxious,496,28
head,497,28
sometimes,498,28
afterwards,499,28
within,500,28
excellent,501,28
maple,502,28
seem,503,28
taste,504,28
herand,505,28
letters,506,27
serious,507,27
says,508,27
expected,509,27
continued,510,27
bodys,511,27
handsome,512,27
meet,513,27
girl,514,27
received,515,27
knows,516,27
meaning,517,27
pass,518,27
spoken,519,27
fancy,520,26
returned,521,26
pain,522,26
circumstance,523,26
begin,524,26
hershe,525,26
absolutely,526,26
probably,527,26
greater,528,26
forward,529,26
common,530,26
whose,531,26
campbell,532,26
please,533,26
campbells,534,26
praise,535,26
shew,536,26
turned,537,25
difficulty,538,25
papa,539,25
small,540,25
second,541,25
interesting,542,25
worth,543,25
warm,544,25
resolution,545,25
dancing,546,25
fairfaxs,547,25
times,548,25
neither,549,25
fair,550,25
kindness,551,25
engaged,552,25
perfect,553,25
ten,554,25
enscombe,555,25
pity,556,25
company,557,25
beauty,558,25
thank,559,25
convinced,560,24
attentions,561,24
actually,562,24
week,563,24
greatest,564,24
surprize,565,24
nature,566,24
judgment,567,24
hearing,568,24
lived,569,24
husband,570,24
hours,571,24
robert,572,23
seems,573,23
comfortable,574,23
except,575,23
ashamed,576,23
join,577,23
face,578,23
months,579,23
easy,580,23
merely,581,23
itbut,582,23
goddards,583,23
health,584,23
sister,585,23
loved,586,23
completely,587,23
obliging,588,23
decided,589,23
charming,590,23
marriage,591,23
