Month,Origin,Origin_city_name,Dest,Dest_city_name,Sum_of_delays,WeatherDelay,weather_delay_ratio
1,ABE,Allentown,ATL,Atlanta,105.5,89.16666666666667,0.7411823884483371
2,ABE,Allentown,ATL,Atlanta,31.75,3.75,0.06666666666666667
3,ABE,Allentown,ATL,Atlanta,12.333333333333334,0.0,0.0
4,ABE,Allentown,ATL,Atlanta,23.181818181818183,7.909090909090909,0.24166666666666667
5,ABE,Allentown,ATL,Atlanta,24.0,0.0,0.0
6,ABE,Allentown,ATL,Atlanta,43.333333333333336,43.333333333333336,1.0
7,ABE,Allentown,ATL,Atlanta,26.4,3.4,0.2
8,ABE,Allentown,ATL,Atlanta,0.0,0.0,
9,ABE,Allentown,ATL,Atlanta,13.5,0.0,0.0
10,ABE,Allentown,ATL,Atlanta,27.5,0.0,0.0
11,ABE,Allentown,ATL,Atlanta,6.0,0.0,0.0
12,ABE,Allentown,ATL,Atlanta,4.571428571428571,0.0,0.0
1,ABQ,Albuquerque,ATL,Atlanta,0.0,0.0,
2,ABQ,Albuquerque,ATL,Atlanta,24.571428571428573,13.142857142857142,0.5348837209302325
3,ABQ,Albuquerque,ATL,Atlanta,8.25,0.0,0.0
4,ABQ,Albuquerque,ATL,Atlanta,0.0,0.0,
5,ABQ,Albuquerque,ATL,Atlanta,0.0,0.0,
6,ABQ,Albuquerque,ATL,Atlanta,6.3,0.0,0.0
7,ABQ,Albuquerque,ATL,Atlanta,21.0,0.0,0.0
8,ABQ,Albuquerque,ATL,Atlanta,4.0,0.0,0.0
9,ABQ,Albuquerque,ATL,Atlanta,0.0,0.0,
10,ABQ,Albuquerque,ATL,Atlanta,0.0,0.0,
11,ABQ,Albuquerque,ATL,Atlanta,0.0,0.0,
12,ABQ,Albuquerque,ATL,Atlanta,11.0,0.0,0.0
1,ABY,Albany,ATL,Atlanta,0.0,0.0,
2,ABY,Albany,ATL,Atlanta,23.666666666666668,0.0,0.0
3,ABY,Albany,ATL,Atlanta,16.0,0.0,0.0
4,ABY,Albany,ATL,Atlanta,3.4285714285714284,0.0,0.0
