Airport_code,Total_number_of_flights,airport,city,state,country,lat,long
ORD,211775,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417
ATL,197320,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
DFW,183262,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372
LAX,131512,Los Angeles International,Los Angeles,CA,USA,33.94253611,-118.40807439999999
PHX,111128,Phoenix Sky Harbor International,Phoenix,AZ,USA,33.43416667,-112.00805559999999
DEN,109910,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019
DTW,96583,Detroit Metropolitan-Wayne County,Detroit,MI,USA,42.21205889,-83.34883583
SFO,91660,San Francisco International,San Francisco,CA,USA,37.61900194,-122.3748433
IAH,91073,George Bush Intercontinental,Houston,TX,USA,29.98047222,-95.33972222
STL,90898,Lambert-St Louis International,St Louis,MO,USA,38.74768694,-90.35998972
EWR,88960,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056
MSP,87829,Minneapolis-St Paul Intl,Minneapolis,MN,USA,44.88054694,-93.2169225
CLT,84182,Charlotte/Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583
LAS,81986,McCarran International,Las Vegas,NV,USA,36.08036111,-115.15233329999998
LGA,75090,LaGuardia,New York,NY,USA,40.77724306,-73.87260917
BOS,73496,Gen Edw L Logan Intl,Boston,MA,USA,42.3643475,-71.00517917
PIT,71977,Pittsburgh International,Pittsburgh,PA,USA,40.49146583,-80.23287083
PHL,68811,Philadelphia Intl,Philadelphia,PA,USA,39.87195278,-75.24114083
SLC,63858,Salt Lake City Intl,Salt Lake City,UT,USA,40.78838778,-111.9777731
SEA,63054,Seattle-Tacoma Intl,Seattle,WA,USA,47.44898194,-122.30931310000001
MCO,62875,Orlando International,Orlando,FL,USA,28.42888889,-81.31602778
CVG,61442,Cincinnati Northern Kentucky Intl,Covington,KY,USA,39.04614278,-84.6621725
DCA,60880,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222
BWI,53643,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833
SAN,49279,San Diego International-Lindbergh ,San Diego,CA,USA,32.73355611,-117.1896567
MIA,48266,Miami International,Miami,FL,USA,25.79325,-80.29055556
CLE,47269,Cleveland-Hopkins Intl,Cleveland,OH,USA,41.41089417,-81.84939667
IAD,42814,Washington Dulles International,Chantilly,VA,USA,38.94453194,-77.45580972
TPA,42482,Tampa International ,Tampa,FL,USA,27.97547222,-82.53325
JFK,41456,John F Kennedy Intl,New York,NY,USA,40.63975111,-73.77892556
MEM,40660,Memphis International,Memphis,TN,USA,35.04241667,-89.97666667
HOU,40000,William P Hobby,Houston,TX,USA,29.64541861,-95.27888889
BNA,38873,Nashville International,Nashville,TN,USA,36.12447667,-86.67818222
MCI,38163,Kansas City International,Kansas City,MO,USA,39.29760528,-94.71390556
OAK,36004,Metropolitan Oakland International,Oakland,CA,USA,37.72129083,-122.22071670000001
MDW,35860,Chicago Midway,Chicago,IL,USA,41.7859825,-87.75242444
SJC,34868,San Jose International,San Jose,CA,USA,37.36186194,-121.92900890000001
RDU,34660,Raleigh-Durham International,Raleigh,NC,USA,35.87763889,-78.78747222
PDX,33609,Portland Intl,Portland,OR,USA,45.58872222,-122.5975
FLL,31977,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,26.07258333,-80.15275
MSY,31233,New Orleans International ,New Orleans,LA,USA,29.99338889,-90.25802778
DAL,31039,Dallas Love ,Dallas,TX,USA,32.84711389,-96.85177222
IND,27120,Indianapolis International,Indianapolis,IN,USA,39.71732917,-86.29438417
SAT,25996,San Antonio International,San Antonio,TX,USA,29.53369444,-98.46977778
SNA,25892,John Wayne /Orange Co,Santa Ana,CA,USA,33.67565861,-117.86822250000002
ONT,25749,Ontario International,Ontario,CA,USA,34.056,-117.60119440000001
AUS,25532,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
SMF,25374,Sacramento International,Sacramento,CA,USA,38.69542167,-121.5907669
ABQ,24572,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
CMH,24417,Port Columbus Intl,Columbus,OH,USA,39.99798528,-82.89188278
BDL,20995,Bradley International,Windsor Locks,CT,USA,41.93887417,-72.68322833
BUR,18852,Burbank-Glendale-Pasadena,Burbank,CA,USA,34.20061917,-118.3584969
PBI,17513,Palm Beach International,West Palm Beach,FL,USA,26.68316194,-80.09559417
ELP,17176,El Paso International,El Paso,TX,USA,31.80666667,-106.37780559999999
JAX,16694,Jacksonville International,Jacksonville,FL,USA,30.49405556,-81.68786111
RNO,16598,Reno/Tahoe International,Reno,NV,USA,39.49857611,-119.76806470000001
BUF,16476,Buffalo Niagara Intl,Buffalo,NY,USA,42.94052472,-78.73216667
OKC,16109,Will Rogers World,Oklahoma City,OK,USA,35.39308833,-97.60073389
HNL,15747,Honolulu International,Honolulu,HI,USA,21.31869111,-157.92240719999998
TUL,15732,Tulsa International,Tulsa,OK,USA,36.19837222,-95.88824167
SDF,15153,Louisville International-Standiford ,Louisville,KY,USA,38.17438889,-85.736
ORF,14693,Norfolk International,Norfolk,VA,USA,36.89461111,-76.20122222
SJU,14627,Luis Munoz Marin International,San Juan,PR,USA,18.43941667,-66.00183333
MKE,14514,General Mitchell International,Milwaukee,WI,USA,42.94722222,-87.89658333
DAY,13940,James M Cox Dayton Intl,Dayton,OH,USA,39.90237583,-84.219375
GSO,13496,Piedmont Triad International,Greensboro,NC,USA,36.09774694,-79.9372975
TUS,13384,Tucson International,Tucson,AZ,USA,32.11608333,-110.94102779999999
PVD,13291,Theodore F Green State,Providence,RI,USA,41.72399917,-71.42822111
OMA,13276,Eppley Airfield,Omaha,NE,USA,41.30251861,-95.89417306
BHM,13169,Birmingham International,Birmingham,AL,USA,33.56294306,-86.75354972
RSW,12852,Southwest Florida International,Ft. Myers,FL,USA,26.53616667,-81.75516667
ANC,12630,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
ROC,12607,Greater Rochester Int'l,Rochester,NY,USA,43.11886611,-77.67238389
SYR,12351,Syracuse-Hancock Intl,Syracuse,NY,USA,43.11118694,-76.10631056
RIC,11759,Richmond International,Richmond,VA,USA,37.50516667,-77.31966667
