UniqueCarrier,Total number of flights,Number of flights cancelled,Percentage_of_cancellation
HA,3943,18,0.456505199
F9,4691,22,0.468983159
WN,238132,2126,0.892782154
PI,23630,241,1.01988997
FL,17814,186,1.0441226
PA (1),7153,86,1.202292744
TZ,3063,37,1.207966046
B6,11451,143,1.248799232
DL,278436,3856,1.384878392
CO,140178,1952,1.392515231
HP,61308,864,1.409277745
AQ,1376,21,1.526162791
PS,4025,63,1.565217391
TW,70413,1216,1.72695383
AA,245044,4299,1.754378805
AS,45129,792,1.754969089
US,237104,4632,1.953573116
NW,167643,3453,2.059734078
UA,221091,4580,2.071545201
XE,33100,704,2.126888218
OO,43552,958,2.199669361
ML (1),1415,36,2.544169611
9E,7218,196,2.715433638
EV,23995,674,2.808918525
EA,24171,701,2.900169625
DH,10121,303,2.993775319
OH,20266,618,3.049442416
YV,11901,410,3.445088648
MQ,42636,1514,3.550989774
