UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,YEAR,QUARTER,CURR_ASSETS,FLIGHT_EQUIP,ASSETS,CURR_LIABILITIES,NON_REC_LIAB,DEF_CREDITS
YX (1),"Midwest Airline, Inc.",YX,Midwest Express Airlines,1991,1,12257.73,67160.35,71798.32,28333.86,19320.6,4860.86
YX (1),"Midwest Airline, Inc.",YX,Midwest Express Airlines,1991,2,12236.04,67157.16,70741.93,26826.4,19281.08,4860.86
YX (1),"Midwest Airline, Inc.",YX,Midwest Express Airlines,1991,3,12760.9,67532.33,70322.58,44137.58,1077.95,4860.86
YX (1),"Midwest Airline, Inc.",YX,Midwest Express Airlines,1991,4,11634.85,68891.16,72244.55,42852.95,772.31,8248.4
YX (1),"Midwest Airline, Inc.",YX,Midwest Express Airlines,1992,1,12072.86,70990.19,72355.8,41091.27,904.34,8248.4
HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,1992,2,44919.18,56051.6,121628.09,235510.48,121453.98,382.81
YX (1),"Midwest Airline, Inc.",YX,Midwest Express Airlines,1992,2,9722.16,74298.65,70668.93,37923.43,1037.05,8248.4
HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,1992,3,41604.72,57680.28,108065.77,197614.02,119215.74,359.66
YX (1),"Midwest Airline, Inc.",YX,Midwest Express Airlines,1992,3,11237.79,74671.26,73615.27,41300.33,1169.56,8248.4
HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,1992,4,39425.14,52295.59,109060.19,203964.68,69426.19,3110.96
YX (1),"Midwest Airline, Inc.",YX,Midwest Express Airlines,1992,4,11250.67,75498.32,78554.88,45616.6,333.39,10217.62
MQ,Envoy Air,MQ,Simmons Airlines,1993,1,34387.24,56353.39,126852.08,89320.26,6318.77,10680.34
5J (1),Private Jet Expeditions,PJQ,Private Jet Expeditions,1993,1,13916.44,,18805.17,13500.55,2889.4,
