word,count,freq
the,1,17200
word,count,freq
the,1,17200
of,2,9126
to,3,8910
and,4,7919
a,5,7410
in,6,6011
that,7,4638
is,8,3393
for,9,2986
on,10,2211
as,11,2028
it,12,1949
with,13,1845
are,14,1689
have,15,1627
be,16,1608
was,17,1552
by,18,1515
but,19,1505
xexx,20,1454
i,21,1421
not,22,1371
from,23,1335
has,24,1331
he,25,1312
at,26,1209
they,27,1207
his,28,1167
an,29,1153
this,30,1128
or,31,1108
who,32,1089
more,33,1064
their,34,1064
we,35,918
would,36,902
about,37,859
mr,38,814
will,39,783
one,40,748
than,41,712
people,42,704
been,43,681
had,44,680
all,45,670
new,46,665
its,47,662
when,48,655
which,49,635
you,50,624
our,51,617
can,52,613
were,53,612
if,54,611
like,55,568
what,56,555
her,57,550
my,58,546
so,59,539
up,60,511
many,61,508
them,62,503
no,63,496
out,64,493
other,65,488
also,66,484
some,67,481
most,68,472
there,69,461
state,70,456
do,71,449
even,72,448
only,73,444
trump,74,440
these,75,437
could,76,431
because,77,428
she,78,427
into,79,419
just,80,419
should,81,413
over,82,407
itxexxs,83,407
those,84,404
states,85,393
time,86,387
government,87,380
how,88,376
now,89,367
years,90,366
after,91,364
president,92,354
said,93,351
political,94,343
percent,95,326
united,96,325
republican,97,324
me,98,324
much,99,317
way,100,311
last,101,308
american,102,305
year,103,300
two,104,295
make,105,291
first,106,288
public,107,287
get,108,284
against,109,274
where,110,264
may,111,262
any,112,259
world,113,257
then,114,252
him,115,251
need,116,250
us,117,245
being,118,244
right,119,244
still,120,241
work,121,238
while,122,236
between,123,234
own,124,230
such,125,228
federal,126,227
obama,127,227
donxexxt,128,227
women,129,224
gun,130,221
through,131,220
national,132,220
your,133,218
too,134,218
every,135,214
country,136,213
both,137,213
back,138,210
since,139,206
take,140,204
party,141,204
made,142,201
part,143,201
before,144,199
law,145,197
use,146,194
without,147,190
city,148,190
less,149,190
want,150,189
long,151,189
well,152,188
think,153,185
good,154,184
health,155,183
another,156,182
did,157,182
down,158,180
see,159,179
among,160,179
might,161,179
support,162,176
campaign,163,176
often,164,175
say,165,174
voters,166,173
very,167,173
must,168,173
never,169,172
better,170,172
system,171,172
rights,172,171
know,173,171
white,174,165
under,175,165
same,176,165
day,177,164
nuclear,178,164
problem,179,162
million,180,162
school,181,161
including,182,161
told,183,160
help,184,159
policy,185,158
around,186,157
cruz,187,156
americans,188,156
clinton,189,156
few,190,155
little,191,155
thatxexxs,192,154
york,193,154
far,194,154
war,195,154
change,196,153
tax,197,153
real,198,152
jan,199,152
power,200,152
go,201,151
children,202,151
candidates,203,150
case,204,150
does,205,149
life,206,149
social,207,148
going,208,148
off,209,147
students,210,146
why,211,145
iran,212,145
court,213,144
human,214,144
end,215,143
care,216,143
xexxcthe,217,140
called,218,140
least,219,138
congress,220,137
hexexxs,221,137
police,222,137
already,223,137
money,224,136
bill,225,136
sanders,226,135
officials,227,135
security,228,135
find,229,134
whether,230,134
high,231,133
something,232,132
economic,233,132
yet,234,132
times,235,131
past,236,130
university,237,130
recent,238,130
news,239,130
become,240,129
three,241,129
fact,242,128
come,243,127
likely,244,127
once,245,126
best,246,126
left,247,125
b,248,124
s,249,124
family,250,124
didnxexxt,251,123
found,252,123
republicans,253,123
justice,254,122
america,255,122
number,256,122
during,257,121
home,258,121
big,259,121
black,260,120
house,261,119
used,262,118
donald,263,118
union,264,117
research,265,117
great,266,117
pay,267,117
countries,268,116
question,269,116
believe,270,115
young,271,115
got,272,114
democratic,273,114
guns,274,113
away,275,113
always,276,113
seems,277,112
writer,278,112
each,279,111
presidential,280,111
local,281,111
instead,282,110
election,283,110
put,284,110
politics,285,109
course,286,109
north,287,109
group,288,109
next,289,109
leaders,290,108
place,291,108
different,292,108
program,293,107
death,294,107
though,295,107
violence,296,107
former,297,106
important,298,105
things,299,105
groups,300,105
week,301,104
issue,302,104
china,303,104
hillary,304,104
point,305,103
almost,306,103
according,307,103
candidate,308,103
office,309,102
international,310,102
debate,311,102
canxexxt,312,102
says,313,102
military,314,102
doesnxexxt,315,102
ago,316,101
isnxexxt,317,101
making,318,101
water,319,100
jobs,320,100
conservative,321,100
income,322,100
lead,323,100
really,324,100
keep,325,100
force,326,99
example,327,99
ms,328,99
man,329,99
economy,330,99
whose,331,99
rather,332,99
actually,333,99
until,334,99
given,335,98
nearly,336,97
men,337,97
others,338,97
hard,339,97
lot,340,96
sense,341,96
lives,342,96
nothing,343,96
plan,344,95
clear,345,95
across,346,95
job,347,95
companies,348,95
de,349,95
deal,350,95
history,351,95
act,352,95
front,353,95
